% Distances between instruments for pitch 32 (G#1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
21,'ElectricBass',7,0.104403475534435,0.10426850669820649,0.08385776841938476,0.04273655593284753,0.0006839560924266408,0.005593044271184756,0.0010817550210996567,0.0010057167104645754,0.0012120724268112335,0.11000037833436822,0.0,0.009420791308025258,0.040933571838706356,0.0013957769345745235,0.0017612628083269585,0.046447300294717025,0.030711460494546965,0.048095883293332344,0.026728209368210205,0.16086400336494822,0.10655008448129244,0.041801378699052476,0.021909379203054764,0.02630336293402825,0.03790773916157233,0.015077673058657664,0.01818897246679643,0.03470198251939386,0.04101900985021519,0.010331800430171234,0.012864679382755496,0.06108888075221652,0.058242159322497815,0.05959403561025659,0.0330404983359512,0.03867754335713924,0.09370279079026127,0.05415034733096838,0.1235615986267266
23,'ElectricPiano',1,0.09514540163862811,0.09501043280239961,0.07459969452357788,0.033478482037040645,0.009950872785510162,0.014867695432835068,0.010339828916906534,0.010334881531529977,0.008208718881214024,0.10837106420198848,0.009420791308025258,0.0,0.050191645734513235,0.008025014373450733,0.011063933824824372,0.055705374190523904,0.02129066918652171,0.038837809397525465,0.01730741806018495,0.16094921280198862,0.10904692128902872,0.03243474843005242,0.026377489562954076,0.01772642351412475,0.028548451082743526,0.005729953679799765,0.008768181158771173,0.025425851768400506,0.031598218542189936,0.009880025350651292,0.012637381734646553,0.07050967206024178,0.06764710167308412,0.06885210950606348,0.04229857223175807,0.029419469461332354,0.08439264607987886,0.0447797904453604,0.11925804342709546
23,'ElectricPiano',2,0.07362709260303207,0.07349212376680356,0.05308138548798184,0.022861911067650103,0.040249615746279714,0.0353405275675216,0.039851816817606696,0.03992785512824178,0.0420471678093115,0.07922399540296529,0.040933571838706356,0.050191645734513235,0.0,0.042240717893402065,0.0391723090303794,0.005575198154801387,0.03466357790213321,0.025090718857702043,0.05717603303584706,0.12982990679702036,0.07551598791336459,0.039383513656608395,0.02381415617155916,0.032480841966629426,0.04084173522274446,0.055921599414312996,0.05889724768276892,0.0541848241428019,0.04179553249778518,0.04031162038386194,0.03755426399986669,0.020413022550035097,0.026906410842870182,0.018707577454449342,0.00790112412868342,0.03447333082903032,0.0628743370442828,0.03120804531897171,0.09267586378619314
23,'ElectricPiano',3,0.10309632947973928,0.10296136064351076,0.08255062236468906,0.041429409878151816,0.0019911021471223536,0.006900190325880468,0.0023889010757953692,0.002312862765160288,0.00019355008409056547,0.10869323227967252,0.0013957769345745235,0.008025014373450733,0.042240717893402065,0.0,0.003068408863022671,0.047754446349412734,0.02931568355997244,0.046788737238636635,0.02533243243363568,0.1594682264303737,0.10515430754671791,0.040405601764477946,0.02051360226848024,0.024907585999453724,0.036511962226997804,0.01368189612408314,0.016793195532221906,0.033376779609511666,0.03962323291564066,0.00893602349559671,0.011468902448180973,0.06248465768679105,0.05962208729963339,0.06090118166495231,0.034347644390646914,0.03737039730244352,0.09234357392099002,0.052754570396393856,0.12216582169215207
23,'ElectricPiano',4,0.10616473834276195,0.10602976950653344,0.08561903122771171,0.044497818741174484,0.0011130610393142108,0.0038317814628577966,0.0007646481298300753,0.0007555460978623829,0.0028748587789321055,0.11176164114269517,0.0017612628083269585,0.011063933824824372,0.0391723090303794,0.003068408863022671,0.0,0.04468603748639007,0.03235460301134608,0.049857146101659304,0.02837135188500932,0.16250714588174733,0.10819322699809157,0.04345408513418625,0.023552521719853878,0.02794650545082736,0.03956778778687737,0.016749290383933604,0.019832114983595547,0.03644518847253434,0.04266215236701431,0.01197494294697035,0.01450782189955461,0.059445738235417406,0.05944405658260007,0.05783277280192964,0.031279235527624245,0.04043880616546619,0.0954119827840127,0.05579912714949423,0.12521350952592303
23,'ElectricPiano',5,0.07343500566961898,0.07330003683339048,0.05288929855456876,0.028375639523660772,0.04576334420229039,0.04085425602353227,0.045372561970013776,0.04544158358425245,0.04756089626532217,0.07903190846955223,0.046447300294717025,0.055705374190523904,0.005575198154801387,0.047754446349412734,0.04468603748639007,0.0,0.04023038520414401,0.030604447313712712,0.06271671315736492,0.12969928956239798,0.07538537067874224,0.044897242112619064,0.029375294734086524,0.038056040121430816,0.04635546367875513,0.061435327870323665,0.06444002882377925,0.05969855259881257,0.04730952455174122,0.04585784606214336,0.04312371521255032,0.019629649345765124,0.02671432390945711,0.013146735315539568,0.013476322283484806,0.03998705928504099,0.06268225011086974,0.036721773774982376,0.09248377685278004
23,'ElectricPiano',6,0.07394133782362236,0.07380636898739386,0.05339563070857214,0.012577846992308796,0.03124154197203187,0.030748354674179468,0.031589954881516,0.03162555071805168,0.02949938806773573,0.09292960174112441,0.030711460494546965,0.02129066918652171,0.03466357790213321,0.02931568355997244,0.03235460301134608,0.04023038520414401,0.0,0.017633745582519723,0.022512455133713843,0.1454211449696086,0.09351885345664872,0.011230684615046671,0.010855090470057486,0.004432108159550245,0.007344387267737783,0.02125802151217979,0.024233669780635705,0.019521246240668696,0.010360364603722982,0.02037966006437573,0.017849425022464307,0.055068209599377714,0.052205639212220066,0.05336276450379196,0.026770504399378055,0.008215405646326607,0.0631885822648731,0.023575726630354652,0.10381658096623142
27,'Horn',3,0.05630759224110265,0.05617262340487414,0.03576188512605242,0.005697751529049681,0.04877983938575899,0.048278917619339785,0.049177638314432004,0.04910160000379692,0.0469822873227272,0.08291898670743242,0.048095883293332344,0.038837809397525465,0.025090718857702043,0.046788737238636635,0.049857146101659304,0.030604447313712712,0.017633745582519723,0.0,0.03249694298691289,0.13584828592517742,0.08394599441221752,0.014589784377626007,0.02643015813452849,0.022065853742069968,0.01604066375359082,0.033107855717725704,0.03422025865332723,0.02930059534581282,0.017089754381289204,0.03799282402316607,0.03548317060498402,0.04505759456568573,0.0423993063414935,0.04375118262925228,0.02382769620268207,0.009613666951171855,0.04658986714035344,0.006418242656597249,0.09410375104719643
29,'Kantele',1,0.07789846176946617,0.08342924090805261,0.05735275465441595,0.0350641749455297,0.027258290845695105,0.026765103547842704,0.027606703755179245,0.027642299591714926,0.02551613694139897,0.11541592969434532,0.026728209368210205,0.01730741806018495,0.05717603303584706,0.02533243243363568,0.02837135188500932,0.06271671315736492,0.022512455133713843,0.03249694298691289,0.0,0.16793360010332245,0.11603130859036254,0.017907158609286888,0.0333618768642879,0.024710810815458572,0.01645627923332207,0.01165053630955254,0.00854133792090625,0.008178911899238575,0.015407188605623687,0.01686441265198511,0.019621769035980372,0.07755453755259861,0.07469196716544096,0.07584909245701286,0.0492829595330919,0.023309658030563354,0.07884630610716432,0.027532850576198475,0.1263029089194523
34,'Organ',1,0.10038715771275492,0.08512765391071642,0.11601635241885809,0.13361947813512548,0.16139408484243312,0.16090089754458073,0.16174249775191726,0.16177809358845294,0.15965193093813698,0.0530543086033419,0.16086400336494822,0.16094921280198862,0.12982990679702036,0.1594682264303737,0.16250714588174733,0.12969928956239798,0.1454211449696086,0.13584828592517742,0.16793360010332245,0.0,0.05431600971668896,0.15014108072408378,0.13895462416189344,0.14322278928786386,0.15159930229021984,0.16667916648178838,0.16965481475024427,0.1649423912102773,0.15255309956526056,0.15106918745133732,0.14831183106734205,0.11081054996032462,0.10316536063323617,0.11834248904406464,0.13633005201184475,0.1452308978965057,0.08925841878482399,0.1419656123864471,0.04174453487798099
