% Distances between instruments for pitch 33 (A1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
21,'ElectricBass',6,0.06013222428796026,0.0254260113718823,0.013389558267467497,0.02963575237667802,0.007714842824343256,0.03593258214511825,0.03768544592728504,0.037410452725001424,0.0367409410707402,0.034472475210174304,0.0,0.03420980202564703,0.034344075431202284,0.018607115733100685,0.0338373003207567,0.035842938346200705,0.01504335437650696,0.017953408382395657,0.017303085319827792,0.03627588170507119,0.12916089704818326,0.09696274226058992,0.0350502258662557,0.01544871058013681,0.023513410583289266,0.03050526285076575,0.02397042528978934,0.034821460495963984,0.03714766949544981,0.02858000800329417,0.018583437938351238,0.025790583348422016,0.03484145427592738,0.031295679228317365,0.02421798941915575,0.021774991373477392,0.02006506510639252,0.03531539412989899,0.01928872199252382,0.0018436836524684998
21,'ElectricBass',7,0.09434202631360729,0.059176686094888735,0.04208201917484556,0.06384555440232505,0.0368913478665615,0.001722780119471218,0.003475643901638008,0.0032006506993543914,0.002531139045093162,0.0002626731845272717,0.03420980202564703,0.0,0.008334208829807009,0.04405747597534541,0.00046838776821938054,0.0016331363205536768,0.035564425108939236,0.030032002771950127,0.03757899714273526,0.025582849824482005,0.16281119271467975,0.1306130379270864,0.04201964564550709,0.019020456467784972,0.032162109252702555,0.04355202657584259,0.034472937604421,0.019447351128965576,0.03902876526499386,0.03373053828084308,0.019016600047538083,0.02083740673795703,0.06085132087732265,0.0567693033967479,0.034175046186213844,0.04722535161572211,0.03780414457151773,0.06896568979639546,0.052939017659020295,0.035493979318964974
23,'ElectricPiano',1,0.08617344975770208,0.05100810953898352,0.03391344261894035,0.05567697784641984,0.028722771310656287,0.009891356675376432,0.011644220457543222,0.011369227255259606,0.01073366269314504,0.008533275148461453,0.034344075431202284,0.008334208829807009,0.0,0.05222605253125062,0.007865821061587628,0.009905456272520999,0.04373300166484445,0.021697793942143117,0.02941042058683004,0.017248640994675,0.15960473753883242,0.12891832091473573,0.03384120306513781,0.023800073357860215,0.023827900422895548,0.03528857661141466,0.026146234407682368,0.011113142299158565,0.030860188709088646,0.02551686115857356,0.01584636036814947,0.012503197908150026,0.06918552970712967,0.0651035122265549,0.04234778303663339,0.05539392817162733,0.029635568015612512,0.06076437811686768,0.0446694998838448,0.03409803736728938
23,'ElectricPiano',2,0.06115875327949133,0.02599341306077277,0.03199667400056819,0.030662281368209084,0.02632195855744394,0.04233469585587419,0.0405818320737074,0.040856825275991014,0.04152633693025225,0.043794802790818134,0.018607115733100685,0.04405747597534541,0.05222605253125062,0.0,0.04442997768023574,0.04242433965479173,0.014058338063785258,0.03573235958140591,0.03553238393008351,0.054068887429975614,0.12934538011183397,0.09714722532424064,0.05308796921574177,0.028425979173390414,0.04127848038850959,0.04845799881619315,0.041859908022906046,0.0526806088146923,0.05547683721368412,0.04658251681087999,0.036379692163101156,0.0435912834923321,0.017076384470707053,0.0202365787174297,0.023312528016967034,0.0031678756403767075,0.038672180839493205,0.03574968163865693,0.03083283126708074,0.01822659778683403
23,'ElectricPiano',3,0.09396952460871695,0.058804184389998404,0.041709517469955236,0.06347305269743471,0.03651884616167117,0.0020952818243615483,0.0038481456065283383,0.003573152404244722,0.0029036407499834923,0.0006674540868738254,0.0338373003207567,0.00046838776821938054,0.007865821061587628,0.04442997768023574,0.0,0.0020396352109333707,0.03593692681382957,0.029563615003730743,0.037206495437844926,0.025114462056262627,0.1623428049464604,0.13014465015886703,0.041637277916152696,0.018552068699565587,0.03169372148448318,0.04308465146242954,0.034004549836201624,0.018978963360746195,0.03865626356010352,0.03331293600958844,0.018548212279318705,0.020369018969737654,0.06131970864554204,0.057237691164967276,0.03454754789110418,0.04759785332061245,0.037431642866627396,0.06856045296788256,0.05247062989080092,0.035054427963045635
23,'ElectricPiano',4,0.09597516263416096,0.060809822415442416,0.043715155495399234,0.06547869072287872,0.03852448418711518,8.964379891754138e-05,0.001842507581084331,0.0015675143788007146,0.0008980027245394851,0.0013721811240595457,0.035842938346200705,0.0016331363205536768,0.009905456272520999,0.04242433965479173,0.0020396352109333707,0.0,0.03393128878838556,0.03160325021466411,0.03921213346328894,0.027154097267195993,0.16438244015739376,0.1321842853698004,0.0436429159415967,0.02059170391049896,0.03373335669541654,0.045123274018556585,0.03604418504713499,0.021018598571679564,0.040661901585547534,0.03531857403503245,0.020587847490252078,0.022408654180671023,0.059280073434608664,0.0551980559540339,0.03254190986566017,0.04559221529516844,0.0394372808920714,0.07056609099332657,0.05451026510173429,0.03706522676167897
23,'ElectricPiano',5,0.07517557866446722,0.040010238445748664,0.023503623134162013,0.04467910675318498,0.01782890769103777,0.03384164498946802,0.03208878120730123,0.03236377440958484,0.03303328606384607,0.03530175192441196,0.01504335437650696,0.035564425108939236,0.04373300166484445,0.014058338063785258,0.03593692681382957,0.03393128878838556,0.0,0.027266940000019172,0.02703933306367734,0.04558941332269471,0.14340371817561923,0.11120556338802588,0.0445949183493356,0.019951266439338543,0.032826942200912784,0.03996494794978698,0.033366857156499875,0.044187557948286126,0.04698378634727795,0.038089465944473815,0.027896969555974756,0.035104114966045534,0.027168470219149556,0.03425340410240559,0.009254189953181774,0.015768190639448034,0.030179129973087037,0.049766507023632826,0.03367162879060994,0.0162604820187959
23,'ElectricPiano',6,0.06457868171659704,0.029413341497878494,0.012318674577835318,0.03408220980531481,0.010545281571882175,0.03153444117374572,0.03332426633775633,0.033012953676771734,0.03243145663528815,0.03023106909060457,0.017953408382395657,0.030032002771950127,0.021697793942143117,0.03573235958140591,0.029563615003730743,0.03160325021466411,0.027266940000019172,0.0,0.007815652545725015,0.018336527848569706,0.14311104458898768,0.11242462796489101,0.017355609634335866,0.011011546304165154,0.005560002200893611,0.013693808570309628,0.006127548441500145,0.016948249233286382,0.01974447763227821,0.01085015722947408,0.011015402724412038,0.009194596033993089,0.05279486265832303,0.04871284517774827,0.025957115987826768,0.03890023522178262,0.008040799974507485,0.039169610075762654,0.023074731842739764,0.01770737031848275
27,'Horn',3,0.05676302917087203,0.02167899913194911,0.0076669779649582845,0.026266557259589794,0.009894958509314314,0.039301777262206475,0.041054641044373265,0.04077964784208965,0.04011013618782842,0.037841670327262523,0.017303085319827792,0.03757899714273526,0.02941042058683004,0.03553238393008351,0.037206495437844926,0.03921213346328894,0.02703933306367734,0.007815652545725015,0.0,0.0189727963852434,0.14291106893766534,0.11222465231356861,0.017747140546427915,0.018817905697225034,0.006210325263461475,0.013202177530937956,0.0066673399699615455,0.018320107068991513,0.019944453283600602,0.01127692268346638,0.018813752244397387,0.016988499634818265,0.05214453959575518,0.0482209474253002,0.02758718453624398,0.03870025957046022,0.0031397969094096923,0.031792279085576074,0.01554170975259063,0.017305786143249482
29,'Kantele',1,0.06901378013817099,0.03761845946004035,0.02663977435020168,0.03851730822688875,0.02886775489455771,0.027085288226277607,0.028875113390288212,0.02856380072930362,0.027982303687820037,0.025781916143136453,0.03627588170507119,0.025582849824482005,0.017248640994675,0.054068887429975614,0.025114462056262627,0.027154097267195993,0.04558941332269471,0.018336527848569706,0.0189727963852434,0.0,0.1614475724375574,0.13076115581346073,0.01668153344560673,0.025642908256585203,0.012802617512606418,0.018128906991883572,0.012305456415281852,0.006135498695516432,0.013700519089557562,0.008357191539042476,0.017692443766719954,0.010485298356649178,0.07111733598099858,0.06703531850042381,0.0442795893105023,0.057236763070352324,0.016832889056348534,0.050550651110891305,0.027509830264313712,0.036029843641158285
