% Distances between instruments for pitch 26 (D1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
23,'ElectricPiano',1,0.0773462690337193,0.09352162125209951,0.04063615125885573,0.2153071089515449,0.0135778830283337,0.011454309810266171,0.01095714486297717,0.009437837651001599,0.05693701947747185,0.008535130854880188,0.0,0.04643491650328999,0.011536451691158231,0.07626571645674046,0.024357400741323778,0.02237368034834238,0.12937788902438999,0.1556227699199241,0.027523944558611114,0.02281362524732132,0.020497567019181612,0.028740857712360623,0.01881990089760607,0.019530376092320324,0.03517008689526784,0.03431209202912958,0.00771239871241939,0.001388673337030138,0.03880084496615114,0.03280349951081935,0.03090421489038286,0.04062685163578248,0.04540275499852361,0.05232167330942555
23,'ElectricPiano',2,0.05439142000212097,0.07056677222050117,0.029209513301951748,0.17137419258165443,0.036619542269195594,0.034980606693023816,0.03547777164031282,0.03699707885228839,0.02728493411973777,0.037952765197408825,0.04643491650328999,0.0,0.03489846481213176,0.02986443387050551,0.02725598285268921,0.04784111819670828,0.0972707344893935,0.12134513806559442,0.03608974172657187,0.02362129125596867,0.02594653908120521,0.036013596164587124,0.04918009977789881,0.04500971257971039,0.05566896045571327,0.048795758285073564,0.054004219257213874,0.04504624316625985,0.013964386916565449,0.0176106284219051,0.03624653247794845,0.01756131340460067,0.022333805010856966,0.017120863707156486
23,'ElectricPiano',4,0.08888272072487753,0.10505807294325774,0.05217260295001397,0.20592684594970564,0.002041431337175469,0.0001603085334474528,0.0005925376028813402,0.002147053288401334,0.06177623484249433,0.003054300385277067,0.011536451691158231,0.03489846481213176,0.0,0.06472926476558223,0.03584577118646204,0.03386205079348064,0.13190002294577832,0.15597442652197926,0.03901231500374938,0.0202216782721204,0.02430494376103329,0.04027730940351886,0.030308271342744334,0.031018746537458588,0.04670653858642607,0.04581396881366989,0.01920076915755765,0.010261281845155448,0.027264393274992905,0.021267047819661124,0.04244066658154109,0.05211522208092074,0.05689112544366187,0.051666103659179584
23,'ElectricPiano',5,0.042557782599527576,0.05873313481790777,0.05904031325540222,0.15954055517906104,0.06268783342840677,0.06481140664647429,0.0653085715937633,0.06682787880573886,0.020222913166763962,0.0677835651508593,0.07626571645674046,0.02986443387050551,0.06472926476558223,0.0,0.05709680939653385,0.07767191815015874,0.08547073100385515,0.10954513458005606,0.06592054168002233,0.05345408560639816,0.055810972951710724,0.0658443961180376,0.0790108997313493,0.07485529542826432,0.08549976040916374,0.07862655823852403,0.08383501921066434,0.07488619279416446,0.037490231242532146,0.043502914758233,0.06607733243139892,0.04333817279618052,0.04701416784107689,0.02394404314731492
23,'ElectricPiano',6,0.05315132994538289,0.06932668216376307,0.016441212170519318,0.1961812030626168,0.037836024999272806,0.03568546265301459,0.0352532335835807,0.033698717898060705,0.03792054747985844,0.03289253159620397,0.024357400741323778,0.02725598285268921,0.03584577118646204,0.05709680939653385,0.0,0.020585135344019064,0.11019895537378921,0.1364438362693233,0.00883375887388266,0.015624092914341636,0.011573624349186453,0.008757613311897915,0.02192411692520961,0.017758486031730466,0.028412977603024064,0.021539775432384348,0.026748236404524662,0.025584489341306593,0.01962191131555036,0.018850718478643187,0.008990549625259239,0.016321223347862585,0.02109371495411888,0.03320318083652562
29,'Kantele',1,0.05509215441260093,0.07126750663098112,0.01939963281284714,0.21672344248087252,0.03585230460629141,0.033708424431384554,0.0332695131905993,0.031714997505079306,0.058462786898114134,0.03090881120322257,0.02237368034834238,0.04784111819670828,0.03386205079348064,0.07767191815015874,0.020585135344019064,0.0,0.13078409071780828,0.15702897161334237,0.011802905447686416,0.024219826940739597,0.021903768712599896,0.011965212873924068,0.0035537794507363094,0.0028909564864947044,0.012915972274149465,0.012023402501393285,0.014684811867194501,0.023642787958148517,0.040207046659569416,0.034209701204237636,0.012111216450234039,0.03434262188161874,0.030663215080237536,0.053745420254781316
34,'Organ',1,0.08901266619695047,0.07131700778695353,0.11215248582305176,0.08601471599432477,0.13389027675858908,0.13173971441233087,0.13130748534289696,0.12975296965737698,0.07333508573441348,0.12894678335552026,0.12937788902438999,0.0972707344893935,0.13190002294577832,0.08547073100385515,0.11019895537378921,0.13078409071780828,0.0,0.026244880895534103,0.11903271424767187,0.1116783446736579,0.10888065062346892,0.11895656868568712,0.1321230722989988,0.12795268510081037,0.13861193297681326,0.13173873080617357,0.13694719177831385,0.12798921568735985,0.11123512140595894,0.11487429901604174,0.11918950499904844,0.09645034536383003,0.10012634040872642,0.08023391928659873
34,'Organ',2,0.11525754709248459,0.09756188868248765,0.13839736671858585,0.05977400605727439,0.15796468033479003,0.15581411798853181,0.1553818889190979,0.1538273732335779,0.09957996662994757,0.15302118693172118,0.1556227699199241,0.12134513806559442,0.15597442652197926,0.10954513458005606,0.1364438362693233,0.15702897161334237,0.026244880895534103,0.0,0.14527759514320596,0.13575274824985883,0.13512520290074245,0.14520144958122125,0.15836795319453292,0.15419756599634446,0.16485681387234738,0.15798361170170766,0.16319207267384797,0.15423409658289397,0.13530952498215987,0.13894870259224265,0.14543438589458255,0.12269522625936415,0.1263712213042605,0.10430832286279966
34,'Organ',3,0.04989036122478218,0.06606571344316237,0.013180243449918605,0.20496193417482675,0.04103379083727083,0.038910217619203304,0.03841977740086804,0.03689374545993873,0.04665988145042773,0.03605907541349131,0.027523944558611114,0.03608974172657187,0.03901231500374938,0.06592054168002233,0.00883375887388266,0.011802905447686416,0.11903271424767187,0.14527759514320596,0.0,0.018877029441527193,0.014834593069787167,0.0012849499034234956,0.013090358051326953,0.009019152061161178,0.019579218729141406,0.012706016558501688,0.01988660505501325,0.028844581145967264,0.028455670189433017,0.022458324734101236,0.0034483070814457298,0.02258236888384182,0.018906373838945445,0.04197649853270743
34,'Organ',4,0.06876739066630937,0.08494274288468957,0.0320572728914458,0.19253847927248113,0.022211932084931163,0.020061369738672948,0.01962914066923906,0.018074624983719065,0.04166090478392616,0.017268438681862328,0.02281362524732132,0.02362129125596867,0.0202216782721204,0.05345408560639816,0.015624092914341636,0.024219826940739597,0.1116783446736579,0.13575274824985883,0.018877029441527193,0.0,0.004083265488912893,0.02016197934495069,0.02555880852193015,0.02140120982186616,0.032047669199744604,0.02569863875510173,0.0303829280012452,0.021432107187766298,0.01598721971882982,0.009989874263498037,0.022325336522972927,0.03193728406878906,0.03670977567504536,0.03149683437134488
