% Distances between instruments for pitch 90 (F#6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
25,'Flute',4,0.05635024447112117,0.03392654949024176,0.08620722412100407,0.06316744982791063,0.10460262393136162,0.06483212829823434,0.07594903287131458,0.007353283713983368,0.011875011051102368,0.0024600759547029343,0.0,0.04011517291221308,0.028986946210399354,0.017028368051649048,0.033671670084209473,0.03678516472852488,0.0920351044524721,0.022279635458503283,0.06984575919480863,0.05450950683640828,0.03909475637096609,0.04047215867184126,0.02970107111214469,0.08359919445521068,0.05505218140388308,0.044520474983239765,0.07181805128451677,0.08956746698978076,0.04660448391404303,0.0634671812868383,0.04402626671105739,0.0590030005642474,0.06604608968243005,0.06513979192574022,0.1480867450135494,0.04011478128910766,0.062327232077196905,0.059951508519723674,0.0635795358095959,0.09268548114651658
25,'Flute',5,0.016471286730884858,0.00952239028217464,0.060771491337344004,0.023288492087674306,0.07916689114770158,0.024953170557998023,0.03607007513107826,0.03498977600918735,0.05175396879133868,0.04067281972023772,0.04011517291221308,0.0,0.026282285967104812,0.02963449429675254,0.013916355339867646,0.011647580766000226,0.06610185997452477,0.056549953542631565,0.1099609321070217,0.09462467974862133,0.0647667043266029,0.06614410662747806,0.04106004059174825,0.05816346167155062,0.029576820853550095,0.017704278835109218,0.03193909354428045,0.04968850924954444,0.020932535958406214,0.037795233331201494,0.004711441284264757,0.033567267780587356,0.037624324413579116,0.029165195907420904,0.12265101222988935,0.014442833333470845,0.03689149929353685,0.022563270662847013,0.023773035771695802,0.05953998841968414
25,'Flute',6,0.04231955678691437,0.020093662545133496,0.05729349217845401,0.04906386031087192,0.07566675989749733,0.050724882678861764,0.06185495603532474,0.02163441437074908,0.025990887678845997,0.026526870255696416,0.028986946210399354,0.026282285967104812,0.0,0.0168958771446647,0.019838783139101212,0.014634705201104584,0.07820221750736382,0.05099653669796291,0.08367864613991689,0.07440827193347298,0.06779871289873007,0.06917611519960525,0.014780373897159615,0.05612664668845824,0.02743006918414927,0.030455263251396792,0.05770607628101996,0.07545159036203714,0.01797722168497354,0.03481291742460829,0.029955637714514625,0.030016054353848052,0.05193021305468642,0.05130690498063197,0.11909979880315007,0.022299365950910383,0.03336150127171714,0.046118621574615416,0.049746648864487625,0.07863691874509836
25,'Flute',7,0.046105781027637405,0.020112104014577904,0.0741161550552694,0.05292298638442685,0.09251155486562697,0.05458766485475056,0.0657045694278308,0.010056365526372442,0.025838514407222114,0.015739409237422817,0.017028368051649048,0.02963449429675254,0.0168958771446647,0.0,0.018489907654811306,0.024694095662790228,0.0815372843406856,0.03930800351015233,0.08502752162420679,0.06969126926580645,0.056123124422615134,0.0575005267234903,0.01761000204641003,0.07150812538947603,0.042921484571475495,0.034276011539755985,0.061573587841033,0.07932300354629698,0.03309428022964541,0.05077601758229871,0.03378180326757362,0.04691193149851275,0.05580162623894627,0.054499145548243366,0.13599567594781475,0.026367792613050584,0.05023616301146225,0.049600279138875915,0.05275059210925607,0.08244101770303282
25,'Flute',8,0.030387642070752507,0.014419215445750958,0.07301467357217524,0.03720484742754195,0.09141007338253282,0.038869525897865666,0.04998643047094591,0.028546273181183746,0.04432842206203342,0.03422931689223413,0.033671670084209473,0.013916355339867646,0.019838783139101212,0.018489907654811306,0.0,0.023592614179696075,0.07832790071303007,0.050106450714627965,0.10351742927901812,0.08818117692061773,0.05999637460363571,0.06137377690451087,0.03461653776374464,0.07040664390638186,0.041820003088381345,0.02994746106994046,0.0458554488841481,0.06360486458941209,0.031992798746551254,0.049674536099204546,0.01806366431068872,0.04581045001541859,0.04986750664841036,0.0412484103802158,0.1348941944647206,0.02526631112995643,0.04913468152836809,0.03480645289767826,0.03703245315237117,0.07178317065451538
26,'Fujara',1,0.02785954000747338,0.009173398733945116,0.04942205939247918,0.03467674536426282,0.06781745920283674,0.03634142383458654,0.04745832840766678,0.029692510254075027,0.04036571551475016,0.03438231595363674,0.03678516472852488,0.011647580766000226,0.014634705201104584,0.024694095662790228,0.023592614179696075,0.0,0.06356751230625923,0.05904168786959322,0.09831335134102148,0.08297709898262112,0.07585680878205603,0.0772342110829312,0.029412459825748014,0.046814029726685795,0.018290128992793142,0.016029770519591962,0.04332734682086897,0.061076762526132956,0.009842431502953091,0.026705128875748368,0.015535562247409596,0.022217835835722524,0.037555385218782246,0.03667219977952739,0.11130158028502453,0.007664660749805798,0.02554206734867202,0.03148391637351083,0.03511194366338304,0.06419477668286878
28,'JinghuOperaViolin',1,0.06344485627319153,0.06390868526727911,0.023728273685183914,0.06728256333124454,0.07206025817152006,0.0656215409632547,0.03216577294549656,0.08690970754944634,0.10365675883527174,0.09259275126049675,0.0920351044524721,0.06610185997452477,0.07820221750736382,0.0815372843406856,0.07832790071303007,0.06356751230625923,0.0,0.11405344338866487,0.16188086364728071,0.14654461128888036,0.13086856430112767,0.13224596660200286,0.09297997213200725,0.0220968817536223,0.05077214832321455,0.04886612109812701,0.0586403473610965,0.040907288318535275,0.06139077377275055,0.04373603805325777,0.06186437591367128,0.06196174314692952,0.029003524006469533,0.03707949033281427,0.12019263352228608,0.05730541449847315,0.08087508980185833,0.043668038546290526,0.04265994779138232,0.00701376218312736
36,'Piano',1,0.07258722436244112,0.053461383485263136,0.1082770841647213,0.07933218548738939,0.1266503518837646,0.08099686395771309,0.0921226236108515,0.02936287420154693,0.031875292266701445,0.02465937191595648,0.022279635458503283,0.056549953542631565,0.05099653669796291,0.03930800351015233,0.050106450714627965,0.05904168786959322,0.11405344338866487,0.0,0.053410978564390144,0.03807472620598979,0.016815120912462806,0.01819252321333797,0.051710661599708246,0.10560878494277422,0.07733181686238637,0.06518732229053785,0.08798278694399553,0.10573220264925952,0.0688841193725463,0.08574681674534158,0.060223305290041385,0.08101259105181097,0.08506964768480273,0.08157457255615873,0.17009633550111294,0.062394416747610947,0.08434509325798441,0.07638628915014217,0.08001431644001437,0.1089045863206251
36,'Piano',2,0.12599820292683128,0.10377230868505039,0.1381525899620968,0.1327425064507888,0.08982060547576065,0.13440352881877868,0.14553360217524164,0.07497115609783435,0.05918900721698469,0.06928811238678398,0.06984575919480863,0.1099609321070217,0.08367864613991689,0.08502752162420679,0.10351742927901812,0.09831335134102148,0.16188086364728071,0.053410978564390144,0.0,0.06498092927099419,0.06915650548090568,0.06778629430268514,0.06890089151527347,0.13979493580853106,0.11110871532406617,0.1141339093913137,0.14138472242093686,0.15911987948210993,0.10165586782489044,0.11849156356452518,0.11363428385443153,0.09993022336615691,0.13560207560369156,0.13498555112054886,0.12853013359545193,0.10597801209082729,0.08100577384542239,0.12979726771453232,0.1334252950044045,0.16231556488501525
36,'Piano',3,0.11066195056843091,0.08843605632665003,0.13169242889855057,0.11740625409238846,0.15006569661759386,0.11906798066538367,0.13019734981684128,0.05964499082714351,0.05529063700053072,0.05395186002838362,0.05450950683640828,0.09462467974862133,0.07440827193347298,0.06969126926580645,0.08818117692061773,0.08297709898262112,0.14654461128888036,0.03807472620598979,0.06498092927099419,0.0,0.053839695522565956,0.0524697341775053,0.0751223968352183,0.1290205201782843,0.10074716159621562,0.09879765703291332,0.1260539036516661,0.14380331935693008,0.09229946410637559,0.10916216147917086,0.09829803149603117,0.10442432628732103,0.12028194204957937,0.11964929876214851,0.19350807073662302,0.0906417597324269,0.10776043799181367,0.11446101535613196,0.11808904264600417,0.1469793125266149
36,'Piano',4,0.06742370802793612,0.07027650439772594,0.12509220507718408,0.06358600096988314,0.14346547279622743,0.06524702333787297,0.0987027913556311,0.046164298527981006,0.048690413179164255,0.041474492828419286,0.03909475637096609,0.0647667043266029,0.06779871289873007,0.056123124422615134,0.05999637460363571,0.07585680878205603,0.13086856430112767,0.016815120912462806,0.06915650548090568,0.053839695522565956,0.0,0.0013774023008751666,0.0685154570729916,0.1224008539568572,0.09414693777484917,0.08200244320300067,0.07222821694003118,0.08996362383436414,0.08569924028500912,0.1025619376578044,0.0690041883874564,0.09780466006589393,0.10186504029465815,0.09393190023402381,0.18689114681185912,0.07920953766007376,0.10116021417044722,0.08720052575483715,0.0885397400982987,0.12385480211800032
36,'Piano',5,0.0688011103288113,0.07165390669860111,0.12646960737805926,0.0649634032707583,0.14484287509710256,0.06662442563874814,0.10008019365650626,0.04754170082885617,0.05006781548003941,0.042851895129294444,0.04047215867184126,0.06614410662747806,0.06917611519960525,0.0575005267234903,0.06137377690451087,0.0772342110829312,0.13224596660200286,0.01819252321333797,0.06778629430268514,0.0524697341775053,0.0013774023008751666,0.0,0.06989285937386676,0.12377081530191784,0.09552434007572434,0.08337984550387584,0.07360561924090635,0.09133867828346755,0.08707664258588428,0.10393933995867956,0.07038159068833157,0.09917462141095458,0.10324244259553329,0.09530930253489896,0.18826854911273427,0.08058693996094891,0.10253761647132238,0.08857792805571231,0.08991714239917387,0.12523220441887548
36,'Piano',6,0.05709731141155779,0.03487141716977692,0.06925169844682334,0.06384161493551536,0.0749500157232358,0.0655026373035052,0.07663271065996817,0.02235115854501059,0.021323673377224947,0.027240995157441755,0.02970107111214469,0.04106004059174825,0.014780373897159615,0.01761000204641003,0.03461653776374464,0.029412459825748014,0.09297997213200725,0.051710661599708246,0.06890089151527347,0.0751223968352183,0.0685154570729916,0.06989285937386676,0.0,0.07090702058561786,0.0422078238087927,0.04523301787604023,0.07248383090566339,0.09023196425919673,0.03275497630961697,0.049590672049251716,0.04473339233915805,0.031042308143243724,0.06671058695184602,0.0660846596052754,0.11838567390140471,0.03707712057555381,0.032644757097455616,0.06089637619925884,0.06452440348913106,0.09341467336974178
