% Distances between instruments for pitch 35 (B1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
23,'ElectricPiano',4,0.05791700635920329,0.0782791620986898,0.05078973555539173,0.06421071922424154,0.027896675290623327,0.10148787994779028,0.0004054242614566236,0.0011611924821353485,0.0009756056670721197,0.0008129997022839037,0.002340754509928666,0.01736586443972489,0.003625312042348315,0.021229017048170023,0.1015208759124188,0.0027223067370744382,0.0,0.05477361522883282,0.03195454386534768,0.03572120919917709,0.021193039389440435,0.15313394459485474,0.16084450677789253,0.03848294919149822,0.02117238398476976,0.030380252076439723,0.03917557884761929,0.007832345587638026,0.023402925292595717,0.03842335418106552,0.03317363990988075,0.28495959312770397,0.004147247552088287,0.06385240453224153,0.051334092862226954,0.04482039732395134,0.03231538366260323,0.046584286001245034,0.08178148444103665,0.06787766823621633,0.06563988570585906
23,'ElectricPiano',5,0.04347429188513413,0.03968965391904426,0.022502317609819897,0.03163281059362,0.02689325932574882,0.047041874075058464,0.05485143013418844,0.05365397488259307,0.05382181924312752,0.05537740331310919,0.05692012037770134,0.049813136480535834,0.058071317915080134,0.053651671611397056,0.05520153668020759,0.05744673346733952,0.05477361522883282,0.0,0.0510705680458295,0.047825170647241476,0.07563904526217224,0.11421682705910818,0.12192738924214597,0.05919567529919906,0.03854568385055542,0.045335214468741204,0.056642258867516344,0.062372746705974313,0.07784893116532754,0.05763162844730039,0.054605095761260956,0.24604247559195738,0.0585932534248201,0.009406398659509714,0.012619495491309246,0.014412822901073194,0.022594804014933054,0.05429853217525373,0.04303994305273571,0.037006948202810135,0.027050377526213507
23,'ElectricPiano',6,0.026379168091262697,0.04674132383074923,0.03204562828433836,0.03267288095630095,0.02452123746372101,0.09811244212088795,0.031549119603891056,0.032746574855486425,0.03257873049495197,0.031141544163063768,0.02961378935541901,0.014599872427252683,0.02832923182299936,0.010725526817177651,0.09772873248810938,0.029232237128273237,0.03195454386534768,0.0510705680458295,0.0,0.004183370931236498,0.024568477216342744,0.1387480408304437,0.1336694346410249,0.00820751024812611,0.012524884195274076,0.00580428673851564,0.007282548103083947,0.024122198277709648,0.026786492487923214,0.006669583315826041,0.003588608745190467,0.2659471423740079,0.02783658997426668,0.06047696670533922,0.047421919200716124,0.041032234887290006,0.028523240238293824,0.01504644773330445,0.05009161296444068,0.03615929191894188,0.04116936613225845
27,'Horn',3,0.0221957971600262,0.042557952899512724,0.028394012481466887,0.028489510025064457,0.020931911321492653,0.09446082631801649,0.035646201911738166,0.03688240168131244,0.036696814866249206,0.03511742111490072,0.03357470405030857,0.018355344759452198,0.03247754732491552,0.014803539507158825,0.09457243133082745,0.033048090960670386,0.03572120919917709,0.047825170647241476,0.004183370931236498,0.0,0.02822009301921422,0.13559173967316177,0.13051313348374294,0.011776723056241029,0.014934065716228717,0.005826595881571803,0.00922330662455832,0.02812207772203559,0.0304299789223695,0.010100999445540241,0.0071861435183029265,0.2627740628367651,0.03201996090550318,0.05682535090246774,0.043974001637299254,0.03787195274236,0.025366939081011883,0.010863076802067953,0.04613888429004199,0.032235068085221676,0.03757992079322343
29,'Kantele',1,0.03717433468940054,0.05753649042888707,0.056614105500681106,0.04582531357136604,0.049089714680063755,0.1226809193372307,0.02078761512798381,0.02198507037957918,0.02181722601904473,0.020380039687156532,0.01885228487951177,0.02616471113936732,0.01756772734709212,0.02200363565072444,0.12226354758222154,0.018470732652365995,0.021193039389440435,0.07563904526217224,0.024568477216342744,0.02822009301921422,0.0,0.16328285592455585,0.15820424973513705,0.017405974919044935,0.03709336141161682,0.03033910183262779,0.0189967863946559,0.013360693801802407,0.0022516773938110668,0.018119093573673976,0.021033949500911295,0.29051561959035066,0.017045791837352147,0.08504544392168197,0.07199039641705889,0.06560071210363276,0.05305805533240598,0.025841614331442293,0.07022288133796425,0.04695445851707972,0.06573784334860121
34,'Organ',1,0.13124086091105444,0.11323346439115,0.1102688866357402,0.11939937961954028,0.1339817083240916,0.13958112884014182,0.15272852033339812,0.1539259755849935,0.15375813122445905,0.15232094489257084,0.1507931900849261,0.13757970550645612,0.14950863255250643,0.14141824063731734,0.0590152903789006,0.1504116378577803,0.15313394459485474,0.11421682705910818,0.1387480408304437,0.13559173967316177,0.16328285592455585,0.0,0.007710562183037767,0.1469555510785698,0.131961560610085,0.13294776781044573,0.1443812447729429,0.15013931573189462,0.16553453331836693,0.1453981974732207,0.1423366495756342,0.13190734635571985,0.14898669704276646,0.11012265507044228,0.10179985173262779,0.12854453470652338,0.12854086608547963,0.14206510120117402,0.09335830909757392,0.12477351722873042,0.09801181887993833
34,'Organ',2,0.1261622547216356,0.10815485820173117,0.11320453971472855,0.11432077343012147,0.14169227050712935,0.1472916910231796,0.16043908251643588,0.16163653776803125,0.1614686934074968,0.16003150707560862,0.15850375226796384,0.1434898353397975,0.15721919473554422,0.1396154897297225,0.06672585256193837,0.1581222000408181,0.16084450677789253,0.12192738924214597,0.1336694346410249,0.13051313348374294,0.15820424973513705,0.007710562183037767,0.0,0.141876944889151,0.13967212279312277,0.13046425470145281,0.1393026385835241,0.1530121611902545,0.1604559271289481,0.14031959128380186,0.13725804338621536,0.1323467528772807,0.15669725922580421,0.11783321725348005,0.10951041391566556,0.13625509688956114,0.13625142826851738,0.1369864950117552,0.08827970290815511,0.11969491103931161,0.09522105965637945
34,'Organ',3,0.0197683597703556,0.04013051550984214,0.04017073553770792,0.029381943608392854,0.03264634471709057,0.10623754937425751,0.038077524930041594,0.03930983907098303,0.039124252255919804,0.037669949489214316,0.036142194681569546,0.021128277753403226,0.03490498471458612,0.017253932143328193,0.10593624273623552,0.03576064245442378,0.03848294919149822,0.05919567529919906,0.00820751024812611,0.011776723056241029,0.017405974919044935,0.1469555510785698,0.141876944889151,0.0,0.020700929347814485,0.01401179698664175,0.002574306305626922,0.030650603603860193,0.01865325586612847,0.0016757236107007882,0.005337631246615006,0.2741378742421731,0.03444739829517377,0.06860207395870878,0.05554702645408569,0.049235764147768056,0.03673075048641994,0.008435639412397356,0.05377951137499107,0.029548483598034785,0.049294473385628014
34,'Organ',4,0.037129862876254915,0.05749201861574144,0.03000259207244335,0.043423575741293165,0.011996353268446934,0.08558755792561389,0.020766959723313137,0.021964414974908503,0.021796570614374053,0.020359384282485855,0.018831629474841093,0.011325083775700788,0.019529224398259343,0.01516361890656201,0.08523531338842101,0.018958680762504475,0.02117238398476976,0.03854568385055542,0.012524884195274076,0.014934065716228717,0.03709336141161682,0.131961560610085,0.13967212279312277,0.020700929347814485,0.0,0.009207868091669966,0.018126623042187564,0.023884694001139278,0.03930324731477211,0.019143575742465353,0.016082027844878843,0.26378720914293424,0.02004756957426468,0.047952082510065136,0.034897035005442056,0.028534834799953567,0.01602982113860545,0.025797142518296668,0.06084230774943289,0.04690998670393409,0.04485274222291069
34,'Organ',5,0.028022393041598,0.04838454878108453,0.02631027470725007,0.03431610590663626,0.018785883886632725,0.09237708854379967,0.0299748278149831,0.03117228306657847,0.031004438706044014,0.02956725237415582,0.028039497566511057,0.013025580638344728,0.02675494003409141,0.0091512350282697,0.09195610274022135,0.027657945339365286,0.030380252076439723,0.045335214468741204,0.00580428673851564,0.005826595881571803,0.03033910183262779,0.13294776781044573,0.13046425470145281,0.01401179698664175,0.009207868091669966,0.0,0.011437490681014828,0.0225479064888017,0.032590779226438854,0.012454443381292613,0.009392895483706108,0.26021178879691964,0.026233004524351438,0.05474161312825093,0.041686565623627846,0.03529688131020172,0.022740410453808157,0.016689672683639755,0.05173483791477598,0.03780251686927718,0.03574527238825378
