% Distances between instruments for pitch 91 (G6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
36,'Piano',6,0.02452568973615159,0.0689002836132613,0.04839692624711019,0.06994408600130973,0.03230391285273867,0.06765948916840508,0.013638927138983686,0.01550489766224824,0.016710688143201223,0.0631400527596284,0.0,0.06952250351813764,0.03876055367062999,0.029263672411830626,0.061791828323650044,0.06642501856337098,0.02188691853414468,0.04257314677159252,0.03658267148591948,0.038552571115293366,0.05417654818454265
36,'Piano',7,0.04511388851369887,0.036426814876604964,0.02113780645607324,0.037470617264653415,0.037236635811712875,0.05995292301292073,0.07513102470971657,0.0632044328586112,0.05920646055084993,0.02423090770256896,0.06952250351813764,0.0,0.03605627722747461,0.04025981416041832,0.007744742882919628,0.0030974849547666804,0.04934150440572275,0.03918121335127081,0.03348539641137814,0.03157992952205694,0.017751634400075707
36,'Piano',8,0.01433661883278499,0.030139729942631307,0.02741266220500112,0.031188690382851863,0.043508400912280455,0.02889893549777509,0.052374328242141055,0.044180331960360364,0.023150183323375317,0.029658506635559283,0.03876055367062999,0.03605627722747461,0.0,0.03596488851238144,0.028311534344554985,0.032967816473502755,0.018138063348051254,0.003812593100962526,0.018076832008490487,0.009752977181504877,0.020695002060473533
36,'Piano',9,0.021730024577903045,0.06610461845501274,0.019134236889390865,0.06714842084306118,0.007569648021482931,0.06486382401015654,0.03488202633747608,0.022955434486370708,0.01895746217860944,0.05390871128097674,0.029263672411830626,0.04025981416041832,0.03596488851238144,0.0,0.032529138965930716,0.03716232920565165,0.019091253375896133,0.03977748161334396,0.018418301049644845,0.02680658861668314,0.04742943797848348
36,'Piano',10,0.03736914563077925,0.04415749007109257,0.013394902076539858,0.04520519836633907,0.029491892928793242,0.05220818013000111,0.06738628182679694,0.05545968997569156,0.051461717667930305,0.03196158289705656,0.061791828323650044,0.007744742882919628,0.028311534344554985,0.032529138965930716,0.0,0.004656282128947769,0.04159676152280312,0.03143647046835118,0.025740653528458512,0.023835186639137317,0.025482309594563306
36,'Piano',11,0.042025427759727015,0.03952429983137165,0.018049345702101382,0.040568102219420095,0.034148175057741016,0.056864462258948874,0.07204256395574471,0.060115972104639336,0.05611799979687807,0.02732839265733564,0.06642501856337098,0.0030974849547666804,0.032967816473502755,0.03716232920565165,0.004656282128947769,0.0,0.0462530436517509,0.036092752597298945,0.030396935657406282,0.028491468768085084,0.020849119354842387
37,'Pinkillo',1,0.00422761589202388,0.048205073807467975,0.028203697949649515,0.04932675373090312,0.02663204046288734,0.04703608276958865,0.0342362648940898,0.02604226861230911,0.010887300422368755,0.042661984569833805,0.02188691853414468,0.04934150440572275,0.018138063348051254,0.019091253375896133,0.04159676152280312,0.0462530436517509,0.0,0.021032977528326707,0.015856107994344615,0.017761574883665813,0.033888899496344944
38,'PivanaFlute',1,0.01804745703544092,0.02717209627914127,0.03122525530596365,0.028293776202576407,0.047318268700335175,0.02600310524126195,0.055269242422416515,0.04707524614063582,0.025862458628391292,0.03250169351538187,0.04257314677159252,0.03918121335127081,0.003812593100962526,0.03977748161334396,0.03143647046835118,0.036092752597298945,0.021032977528326707,0.0,0.02135918056369912,0.012970892996660828,0.023728608441892996
51,'Violin',8,0.012056981749768029,0.048143842467907205,0.012347589955304899,0.049265522391342347,0.02595908813663605,0.046974851430027886,0.04164562829833843,0.029719036447233057,0.02600922475090131,0.03573890553311217,0.03658267148591948,0.03348539641137814,0.018076832008490487,0.018418301049644845,0.025740653528458512,0.030396935657406282,0.015856107994344615,0.02135918056369912,0.0,0.008388287567038294,0.029450051732215793
51,'Violin',9,0.014026881379141912,0.039819987640921595,0.018254362309302823,0.040941667564356736,0.03434737570367435,0.038650996603042276,0.04355109518765963,0.03442735477885548,0.027979124380275194,0.02741505070612656,0.038552571115293366,0.03157992952205694,0.009752977181504877,0.02680658861668314,0.023835186639137317,0.028491468768085084,0.017761574883665813,0.012970892996660828,0.008388287567038294,0.0,0.021126196905230186
51,'Violin',10,0.029661283604321066,0.01869379073569141,0.03887721167110317,0.02086425108257509,0.05497022506547469,0.04459073176968197,0.06374754796586636,0.05555355168408568,0.04375385564147213,0.008963504575085749,0.05417654818454265,0.017751634400075707,0.020695002060473533,0.04742943797848348,0.025482309594563306,0.020849119354842387,0.033888899496344944,0.023728608441892996,0.029450051732215793,0.021126196905230186,0.0
